latitude,longitude
39.04896314,-84.68382139
39.04896314,-84.68382138
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139q
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896314,-84.68382139
39.04896315,-84.68382139
39.04896315,-84.68382139
39.04896316,-84.6838214
39.04896318,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
39.04896317,-84.6838214
