Time,latitude,longitude,altitude,roll,pitch,heading,airspeed,vertical_speed
1,39.04936879,-84.68382028,874.995864,0.2240149124,-0.02055770679,0.1700156151,0,-0
2,39.04936878,-84.68382028,874.9944144,0.2361110019,-0.003527241834,0.1700900975,2.995442574,5.449226777e-05
3.00833,39.04936879,-84.68382028,874.9960007,0.2356799526,-0.01541776592,0.1700433403,2.482578596,-3.405450058e-05
4.00833,39.04936879,-84.68382028,874.9959634,0.2352017942,-0.01752825232,0.1700347871,2.293666798,-4.680328613e-05
5.01667,39.04936879,-84.68382028,874.9959306,0.2347824631,-0.01889973099,0.170029172,2.167798245,-3.130078473e-05
6.01667,39.04936879,-84.68382028,874.9959095,0.2344121068,-0.01982837473,0.1700253247,2.116253529,-2.002555119e-05
7.00833,39.04936879,-84.68382028,874.9958965,0.2340961464,-0.02046373994,0.1700226599,2.144778406,-1.29192065e-05
8.21667,39.04936879,-84.68382028,874.9958886,0.233876451,-0.02089357127,0.1700208558,2.242049424,-7.835436315e-06
9.00833,39.04936879,-84.68382028,874.9958835,0.2336389134,-0.02126442683,0.1700192738,2.422538286,-5.4786001e-06
10,39.04936879,-84.68382028,874.9958823,0.2334365052,-0.02156557622,0.170017985,2.603816004,-2.371633481e-06
11,39.04936879,-84.68382028,874.9958776,0.2332078897,-0.02177444658,0.1700170436,2.578656378,-6.314161177e-06
12,39.04936879,-84.68382028,874.9958733,0.2329746469,-0.021898428,0.170016432,2.586531947,-3.189634291e-06
13,39.04936879,-84.68382028,874.9957882,0.2327368209,-0.02106410311,0.1700195628,2.627268327,-5.720948284e-05
14.0167,39.04936879,-84.68382028,874.9957722,0.232476838,-0.02021781711,0.1700227235,2.699951187,7.564119527e-06
15.0167,39.04936879,-84.68382028,874.9957787,0.2321749832,-0.01970301295,0.1700245613,2.800291809,7.018791203e-06
16,39.04936879,-84.68382028,874.9957815,0.2318304909,-0.01933141086,0.1700258123,2.923721017,1.383191427e-06
17,39.04936879,-84.68382028,874.9957823,0.23154652,-0.01903433051,0.1700268058,2.973935037,4.935282793e-06
18.0083,39.04936879,-84.68382028,874.9957866,0.2315082909,-0.01885492779,0.1700274843,2.973102712,4.225031744e-06
19,39.04936879,-84.68382028,874.9957898,0.2315057134,-0.01874494427,0.1700279126,2.9722774,3.094922945e-06
20.0167,39.04936879,-84.68382028,874.9957921,0.2315062857,-0.01867497813,0.1700281864,2.97143289,1.833092376e-06
21.0083,39.04936879,-84.68382028,874.9957936,0.2315063416,-0.01863274781,0.1700283515,2.970610455,1.33612123e-06
22.2833,39.04936879,-84.68382028,874.9957941,0.2315064117,-0.01861655993,0.1700284148,2.970154899,1.040221358e-06
23.025,39.04936879,-84.68382028,874.9957951,0.2315072325,-0.01859015823,0.1700285185,2.968941486,5.281685662e-07
24.0167,39.04936879,-84.68382028,874.9957955,0.2315080101,-0.01858041976,0.170028557,2.968122084,3.239803842e-07
25.025,39.04936879,-84.68382028,874.9957957,0.2315088602,-0.01857454193,0.1700285805,2.96728968,1.946324441e-07
26.0167,39.04936879,-84.68382028,874.9957959,0.2315097007,-0.01857131777,0.1700285936,2.966471809,1.335980958e-07
27.025,39.04936879,-84.68382028,874.995796,0.2315105492,-0.01856960462,0.1700286008,2.965647822,6.19801912e-08
28.0167,39.04936879,-84.68382028,874.9957961,0.2315113954,-0.018568774,0.1700286046,2.964824453,-3.913836274e-08
29.0333,39.04936879,-84.68382028,874.9957962,0.2315122481,-0.01856889702,0.1700286046,2.963995058,8.675379327e-08
30.0083,39.04936879,-84.68382028,874.9957962,0.2315130784,-0.01856925936,0.1700286037,2.963186847,9.76992934e-08
31.0083,39.04936879,-84.68382028,874.9957963,0.231513922,-0.01856989747,0.1700286017,2.962365628,7.348091834e-08
32.0167,39.04936879,-84.68382028,874.9957963,0.231514772,-0.01857069177,0.1700285991,2.961538258,5.453391277e-08
33.0167,39.04936879,-84.68382028,874.9957964,0.2315156148,-0.01857167312,0.1700285957,2.960718392,1.258866874e-08
34.0083,39.04936879,-84.68382028,874.9957964,0.2315164486,-0.01857289818,0.1700285914,2.95990606,3.829409499e-09
35.0167,39.04936879,-84.68382028,874.9957964,0.2315172957,-0.01857392048,0.1700285879,2.959080775,4.955362172e-08
36.025,39.04936879,-84.68382028,874.9957963,0.231519333,-0.0185744233,0.1700285872,2.958256174,1.113651989e-08
37.0167,39.04936879,-84.68382028,874.9957963,0.231520304,-0.01857539937,0.1700285839,2.957445817,1.997531703e-08
38.0167,39.04936879,-84.68382028,874.9957964,0.2315216153,-0.01857686793,0.170028579,2.956622604,2.410548087e-07
39.025,39.04936879,-84.68382028,874.9957966,0.2315232531,-0.01857818175,0.1700285748,2.955806832,4.689083039e-08
40.025,39.04936879,-84.68382028,874.9957966,0.2315240235,-0.01857907154,0.1700285718,2.954991726,-1.54912327e-08
41.025,39.04936879,-84.68382028,874.9957965,0.2315242101,-0.01857982662,0.170028569,2.954177291,-2.700794627e-08
42.0083,39.04936879,-84.68382028,874.9957965,0.2315245476,-0.01858105471,0.1700285644,2.953377097,2.742524916e-09
43.0167,39.04936879,-84.68382028,874.9957965,0.2315251177,-0.0185821917,0.1700285602,2.952550508,-1.121107988e-08
44.0167,39.04936879,-84.68382028,874.9957966,0.2315257525,-0.01858319361,0.1700285567,2.951738113,-4.0266124e-08
45.025,39.04936879,-84.68382028,874.9957967,0.2315263976,-0.01858433917,0.1700285526,2.950926333,-4.279311251e-08
46.0083,39.04936879,-84.68382028,874.9957968,0.2315276538,-0.01858593778,0.1700285471,2.950122092,5.672184153e-07
47.0083,39.04936879,-84.68382028,874.9957971,0.231530166,-0.01858809813,0.1700285402,2.949318264,3.834782126e-07
48.0083,39.04936879,-84.68382028,874.9957972,0.231531033,-0.01858945643,0.1700285354,2.948501888,1.435900562e-07
49.0167,39.04936879,-84.68382028,874.9957972,0.2315316473,-0.01859022797,0.1700285328,2.947686076,-2.940234533e-08
50.025,39.04936879,-84.68382028,874.9957973,0.2315323077,-0.01859113167,0.1700285296,2.946877704,1.090001206e-07
51.0167,39.04936879,-84.68382028,874.9957974,0.2315329104,-0.01859214136,0.170028526,2.946070002,-2.204340861e-07
52.0167,39.04936879,-84.68382028,874.9957974,0.2315335455,-0.01859320387,0.1700285223,2.94526285,1.531614824e-07
53.0167,39.04936879,-84.68382028,874.9957975,0.2315342015,-0.01859430103,0.1700285184,2.944456535,-1.920220629e-07
54.0167,39.04936879,-84.68382028,874.9957976,0.2315348615,-0.01859536644,0.1700285146,2.943650676,1.343130495e-07
55.0167,39.04936879,-84.68382028,874.9957976,0.2315355719,-0.0185964036,0.170028511,2.942845621,4.97126752e-08
56.0167,39.04936879,-84.68382028,874.9957977,0.2315362369,-0.01859748376,0.1700285071,2.942041187,4.085804569e-08
57.0167,39.04936879,-84.68382028,874.9957977,0.2315369147,-0.01859858304,0.1700285032,2.941237432,2.692534724e-08
58.0167,39.04936879,-84.68382028,874.9957977,0.231537629,-0.01859963649,0.1700284995,2.940434301,-7.170164617e-08
59.0167,39.04936879,-84.68382028,874.9957977,0.2315377816,-0.01860047901,0.1700284963,2.939631872,3.626260518e-08
60.0167,39.04936879,-84.68382028,874.9957976,0.2315381259,-0.01860205274,0.1700284904,2.938830038,-4.349103994e-08
61.0167,39.04936879,-84.68382028,874.9957976,0.2315388446,-0.01860352224,0.1700284851,2.938028913,-2.101517712e-08
62.0167,39.04936879,-84.68382028,874.9957977,0.2315396348,-0.01860485145,0.1700284803,2.937228435,-3.49658086e-09
63.0167,39.04936879,-84.68382028,874.9957977,0.2315404468,-0.01860609402,0.1700284759,2.936428606,5.791337319e-09
64.0167,39.04936879,-84.68382028,874.9957977,0.2315412604,-0.01860727883,0.1700284718,2.935629428,1.123374095e-08
