Time,latitude,longitude,altitude,roll,pitch,heading,airspeed,vertical_speed
95.0333,39.08541428,-84.68201614,2100.340425,5.645499356,16.8013076,12.51987165,111.7308084,22.02049741
95.0333,39.08541428,-84.68201614,2100.340425,5.645499356,16.8013076,12.51987165,111.7308084,22.02049741
95.05,39.08542343,-84.68201382,2100.718236,5.640195275,16.7938627,12.53161196,111.7340334,21.99647985
95.0667,39.08543258,-84.68201151,2101.095647,5.634892208,16.78641612,12.54331128,111.7372936,21.97247847
95.0667,39.08543258,-84.68201151,2101.095647,5.634892208,16.78641612,12.54331128,111.7372936,21.97247847
95.0833,39.08544173,-84.68200919,2101.472658,5.629589485,16.77896792,12.55496999,111.7405889,21.94849329
95.0833,39.08544173,-84.68200919,2101.472658,5.629589485,16.77896792,12.55496999,111.7405889,21.94849329
95.1,39.08545089,-84.68200686,2101.84927,5.624286446,16.77151813,12.56658845,111.7439193,21.92452432
95.1167,39.08546004,-84.68200454,2102.225482,5.618982435,16.76406679,12.57816705,111.7472848,21.90057159
95.1167,39.08546004,-84.68200454,2102.225482,5.618982435,16.76406679,12.57816705,111.7472848,21.90057159
95.1333,39.08546919,-84.68200221,2102.601295,5.613676801,16.75661394,12.58970618,111.7506854,21.87663512
95.1333,39.08546919,-84.68200221,2102.601295,5.613676801,16.75661394,12.58970618,111.7506854,21.87663512
95.15,39.08547835,-84.68199988,2102.976709,5.608368902,16.74915961,12.60120621,111.754121,21.85271494
95.1667,39.0854875,-84.68199754,2103.351725,5.603058099,16.74170385,12.61266756,111.7575915,21.82881106
95.1667,39.0854875,-84.68199754,2103.351725,5.603058099,16.74170385,12.61266756,111.7575915,21.82881106
95.1833,39.08549665,-84.68199521,2103.726342,5.597743762,16.7342467,12.62409061,111.7610969,21.80492353
95.1833,39.08549665,-84.68199521,2103.726342,5.597743762,16.7342467,12.62409061,111.7610969,21.80492353
95.2,39.08550581,-84.68199287,2104.100562,5.592425267,16.72678819,12.63547578,111.7646373,21.78105237
95.2167,39.08551496,-84.68199053,2104.474384,5.587101998,16.71932837,12.64682348,111.7682125,21.75719762
