Time,latitude,longitude,altitude,roll,pitch,heading,airspeed
1,39.04936879,-84.68382028,874.995864,0.2240149124,-0.02055770679,0.1700156151,0
1,39.04936879,-84.68382028,874.995864,0.2240149124,-0.02055770679,0.1700156151,0
2,39.04936878,-84.68382028,874.9944144,0.2361110019,-0.003527241834,0.1700900975,2.995442574
2,39.04936878,-84.68382028,874.9944144,0.2361110019,-0.003527241834,0.1700900975,2.995442574
2.80833,39.04936878,-84.68382028,874.9959006,0.2361491125,-0.01180199451,0.170057797,2.71918823
3,39.04936879,-84.68382028,874.9960009,0.235671135,-0.01539896193,0.1700434072,2.484377913
3.50833,39.04936879,-84.68382028,874.9959833,0.2354735004,-0.01658936413,0.1700386268,2.381073673
4.275,39.04936879,-84.68382028,874.995971,0.2353321474,-0.01717327783,0.1700362554,2.326831899
4.51667,39.04936879,-84.68382028,874.9959454,0.2349587809,-0.01829978265,0.1700316219,2.220997638
5.23333,39.04936879,-84.68382028,874.9959316,0.2347862505,-0.01886595895,0.1700293053,2.170845232
5.50833,39.04936879,-84.68382028,874.9959191,0.2345740695,-0.01941040798,0.1700270517,2.132243272
6.00833,39.04936879,-84.68382028,874.9959097,0.2344102342,-0.01982580786,0.1700253325,2.116348119
6.50833,39.04936879,-84.68382028,874.995902,0.2342572311,-0.02017007859,0.1700238987,2.120562309
7.01667,39.04936879,-84.68382028,874.9958961,0.2341140326,-0.02046326944,0.1700226709,2.145350068
7.51667,39.04936879,-84.68382028,874.9958917,0.2339830252,-0.02070773627,0.1700216412,2.189232775
8.00833,39.04936879,-84.68382028,874.9958883,0.2338648821,-0.02091420943,0.1700207677,2.250155594
8.50833,39.04936879,-84.68382028,874.9958856,0.2337516308,-0.02109766845,0.1700199874,2.328760273
9.00833,39.04936879,-84.68382028,874.9958836,0.2336431916,-0.02125859436,0.1700192981,2.420860157
9.50833,39.04936879,-84.68382028,874.9958823,0.2335376674,-0.02141354649,0.1700186341,2.529811016
10.0083,39.04936879,-84.68382028,874.9958824,0.2334355572,-0.02156574418,0.170017983,2.603471662
10.5,39.04936879,-84.68382028,874.9958804,0.2333252866,-0.02168407446,0.17001746,2.587139975
11.0083,39.04936879,-84.68382028,874.9958776,0.2332061214,-0.02177439886,0.1700170419,2.57858496
11.5083,39.04936879,-84.68382028,874.995875,0.2330898787,-0.02184188949,0.1700167148,2.578518114
12.0083,39.04936879,-84.68382028,874.9958733,0.2329731912,-0.02189845694,0.1700164302,2.586736497
12.5167,39.04936879,-84.68382028,874.9958541,0.2328556966,-0.021777846,0.1700168378,2.60328914
13.0083,39.04936879,-84.68382028,874.9957882,0.2327351518,-0.02106397698,0.1700195615,2.627741505
13.5083,39.04936879,-84.68382028,874.9957728,0.2326108589,-0.02058333023,0.1700213703,2.660058395
14,39.04936879,-84.68382028,874.9957721,0.2324806557,-0.02022823076,0.1700226841,2.699226092
14.5583,39.04936879,-84.68382028,874.9957753,0.2323318576,-0.01994348072,0.1700237115,2.746102002
15,39.04936879,-84.68382028,874.9957786,0.2321763566,-0.01970947903,0.1700245361,2.799348637
15.5,39.04936879,-84.68382028,874.9957808,0.2320091473,-0.01950916472,0.1700252215,2.859070358
16,39.04936879,-84.68382028,874.9957815,0.2318316613,-0.01933355643,0.1700258037,2.923720963
16.5,39.04936879,-84.68382028,874.995781,0.2316397211,-0.0191666733,0.1700263429,2.974347422
17,39.04936879,-84.68382028,874.9957823,0.2315466589,-0.01903561703,0.1700268,2.973935048
17.5,39.04936879,-84.68382028,874.9957845,0.2315177441,-0.01893490565,0.1700271765,2.973519197
18,39.04936879,-84.68382028,874.9957865,0.231508301,-0.018855722,0.1700274804,2.973102799
18.5,39.04936879,-84.68382028,874.9957895,0.2315026659,-0.01880358578,0.1700276808,2.972681046
19,39.04936879,-84.68382028,874.995799,0.2314789989,-0.01883348997,0.1700275498,2.97225348
19.5,39.04936879,-84.68382028,874.9958146,0.2314332205,-0.01896967441,0.1700269902,2.971824483
20.0167,39.04936879,-84.68382028,874.9958356,0.2313649151,-0.01922885098,0.1700259367,2.971387205
20.5,39.04936879,-84.68382028,874.9958554,0.2312859756,-0.01955903128,0.1700245998,2.97097799
21,39.04936879,-84.68382028,874.9958685,0.2312074021,-0.01989148247,0.1700232547,2.970570295
21.5,39.04936879,-84.68382028,874.9958791,0.2311202058,-0.02024193673,0.1700218347,2.970148117
22,39.04936879,-84.68382028,874.9958885,0.2310275122,-0.02059302003,0.1700204096,2.969733503
22.5167,39.04936879,-84.68382028,874.9958974,0.2309229118,-0.02095985255,0.1700189169,2.969305345
23.0167,39.04936879,-84.68382028,874.9959056,0.2308158551,-0.02131627932,0.1700174642,2.968892052
23.5167,39.04936879,-84.68382028,874.9959132,0.2307039441,-0.02167157536,0.1700160139,2.968478659
24.0167,39.04936879,-84.68382028,874.9959203,0.2305855281,-0.02202455881,0.1700145697,2.968065753
24.5167,39.04936879,-84.68382028,874.9959271,0.230462539,-0.02237360295,0.1700131392,2.967653256
25.0167,39.04936879,-84.68382028,874.9959335,0.2303357917,-0.02271734432,0.1700117282,2.967241219
25.5167,39.04936879,-84.68382028,874.9959396,0.2302070432,-0.02305499178,0.1700103408,2.966829525
26.0167,39.04936879,-84.68382028,874.9959458,0.2300761941,-0.02338615521,0.1700089783,2.966417983
26.5167,39.04936879,-84.68382028,874.9959513,0.2299445472,-0.02370326038,0.1700076711,2.966013707
27.0167,39.04936879,-84.68382028,874.9959567,0.2298086987,-0.02402262326,0.1700063536,2.965596072
27.5167,39.04936879,-84.68382028,874.9959618,0.2296761367,-0.02432723378,0.1700050963,2.965185724
28.0083,39.04936879,-84.68382028,874.9959663,0.2295501593,-0.0246111756,0.1700039236,2.964789227
28.5167,39.04936879,-84.68382028,874.9959708,0.2294188774,-0.02490255393,0.1700027199,2.96436593
29.0167,39.04936879,-84.68382028,874.9959748,0.2292957165,-0.0251722474,0.1700016056,2.963956317
29.5167,39.04936879,-84.68382028,874.9959786,0.2291744523,-0.02542970732,0.1700005406,2.963547032
30.0167,39.04936879,-84.68382028,874.9959821,0.229057962,-0.02567483909,0.1699995266,2.963137937
30.5167,39.04936879,-84.68382028,874.9959855,0.2289470315,-0.02590815273,0.1699985619,2.962728868
31.0167,39.04936879,-84.68382028,874.9959884,0.2288388164,-0.02612918176,0.169997647,2.962320173
31.5167,39.04936879,-84.68382028,874.9959914,0.2287354079,-0.02633897173,0.1699967786,2.961911415
32.0167,39.04936879,-84.68382028,874.9959939,0.2286359115,-0.02653738997,0.1699959569,2.961502676
32.5167,39.04936879,-84.68382028,874.9959966,0.2285411011,-0.0267256783,0.1699951773,2.961094247
33.0167,39.04936879,-84.68382028,874.9959992,0.2284496331,-0.02690389412,0.1699944388,2.960685737
33.5167,39.04936879,-84.68382028,874.9960016,0.2283614741,-0.02707210505,0.1699937413,2.9602776
34.0167,39.04936879,-84.68382028,874.9960038,0.2282779172,-0.02723086853,0.169993083,2.959869449
34.5167,39.04936879,-84.68382028,874.996006,0.2281989718,-0.02738104417,0.1699924606,2.959461296
35.0167,39.04936879,-84.68382028,874.996008,0.2281235234,-0.02752243854,0.1699918742,2.959053437
35.5167,39.04936879,-84.68382028,874.9960099,0.2280513326,-0.02765569183,0.1699913213,2.958645674
36.0167,39.04936879,-84.68382028,874.9960119,0.2279836738,-0.02778174792,0.1699907987,2.958237956
36.5083,39.04936879,-84.68382028,874.9960136,0.2279197767,-0.02789839172,0.1699903147,2.957837144
37.0167,39.04936879,-84.68382028,874.9960153,0.2278570634,-0.02801188865,0.1699898436,2.957422994
37.5083,39.04936879,-84.68382028,874.9960169,0.2278002893,-0.02811363387,0.1699894212,2.957029137
38.025,39.04936879,-84.68382028,874.9960186,0.2277440143,-0.02821623224,0.1699889958,2.956608335
38.525,39.04936879,-84.68382028,874.9960201,0.2276925345,-0.02830781153,0.1699886156,2.956207823
39.025,39.04936879,-84.68382028,874.9960216,0.2276424356,-0.02839710891,0.1699882449,2.955794213
39.5083,39.04936879,-84.68382028,874.9960229,0.2275962457,-0.02847691514,0.1699879132,2.955400988
40.0083,39.04936879,-84.68382028,874.9960244,0.22755142,-0.02855614564,0.1699875843,2.95498737
40.525,39.04936879,-84.68382028,874.9960257,0.2275093428,-0.02863039833,0.1699872761,2.954574
41.0167,39.04936879,-84.68382028,874.9960272,0.2274688014,-0.0286994096,0.1699869891,2.954167529
41.5167,39.04936879,-84.68382028,874.9960287,0.2274320417,-0.02876432969,0.1699867198,2.953761109
42.0167,39.04936879,-84.68382028,874.9960298,0.2273964725,-0.02882465868,0.1699864689,2.953354943
42.5167,39.04936879,-84.68382028,874.9960309,0.2273627576,-0.02888052177,0.1699862363,2.952955604
